prospect_id,hashed_email,hashed_phone,curp_hash,first_identified_ts,geo_state,age_band,income_band,segment_label,intent_band,lead_quality_score,is_existing_customer
PR000001,43f0586ebe3423f9ab3c4548dea5b9d9,2594dc047641cddfa9309809,e6c5fb02d18a65d85138d89d,2025-02-14 05:32:26,CDMX,18-24,35k-50k,Joven digital,Media,70.79,0
PR000002,3759f6805a904a585b6e576aeb441b96,69d46f73722ccf6d0f62cc72,a8c75b2de8eac09e06f09f7c,2025-11-11 03:36:53,Puebla,45-54,10k-20k,Baja intención masivo,Baja,43.47,0
PR000003,8860ebb274e30ec23266c84b55decfd6,8532e4f0d78a8f65c6b58d92,e915201ad5fd2addafc6ce64,2025-06-30 22:45:39,Jalisco,45-54,35k-50k,Asalariado consolidado,Media,70.21,0
PR000004,13c7523162f98529b2c7009d6ca6cc7c,1f3bb2fe0e096dbfddf3821f,a2bef23438239df5d4639f5c,2025-04-14 18:52:15,Yucatán,25-34,35k-50k,Joven digital,Media,66.77,0
PR000005,c00f48893cfb3c758f344521bfbc4072,fb5a26110f2c274e5f15128a,485b5fcddbf5a4ffcb362841,2025-07-03 21:25:37,Estado de México,25-34,35k-50k,Prospecto informativo,Baja,64.47,0
PR000006,311709d1383c3bcbaaa08af772403e5f,8afa4e78a34111a7606ccd28,f7ac527a8ca1bd7191e2b9e9,2025-04-05 19:41:59,San Luis Potosí,25-34,10k-20k,Joven digital,Alta,73.7,0
PR000007,9077b999f1326f8bcbbc3f6cd2f633bb,ad62049c34e640205f378982,dfbb7acb4c02d5fa42235f12,2025-04-05 21:51:51,Coahuila,35-44,10k-20k,Prospecto informativo,Alta,67.79,0
PR000008,b9bcaa15817c1c7efa36001512dd2a7c,b7cfd1aaa1b1c5990f85ee10,c9aa17faf8ccd02065291670,2025-10-31 17:32:20,Nuevo León,25-34,10k-20k,Baja intención masivo,Baja,26.39,0
PR000009,104682a6d1d9272d85f3d02ff7476b48,112a9a3386353d4d6e216550,e0db6ef9339b6586811f93da,2025-08-08 10:28:22,San Luis Potosí,55+,10k-20k,Baja intención masivo,Baja,34.34,0
PR000010,120e0cb69e6575bfb84a458d6d6cf93c,3bfeb293ae829f24832da2eb,073639a4c7444ad625a437dc,2025-07-18 08:16:10,Michoacán,18-24,0-10k,Cliente existente digital,Media,57.5,1
